PersonID,SessionNumber,MemberCode,LastName,MiddleName,FirstName,FormalName,ShortName,SessionContact,InterimContact,Chamber,District,Seat,Party,Phone,EMail,Building,Room,Comment,IsActive,IsMajority
John Huber:7,10,Hub,Huber,,John,Senator John Huber,Huber,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,O,,D,,Senator.John.Huber@akleg.gov,,,,true,false
Tim Kelly:10,10,Kel,Kelly,,Tim,Representative Tim Kelly,Kelly,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,8,,R,,Representative.Tim.Kelly@akleg.gov,,,,true,false
Jalmar Kerttula:2,10,Ker,Kerttula,,Jalmar,Senator Jalmar Kerttula,Kerttula,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,D,,D,,Senator.Jalmar.Kerttula@akleg.gov,,,,true,false
Kris Lethin:10,10,Let,Lethin,,Kris,Representative Kris Lethin,Lethin,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,11,,R,,Representative.Kris.Lethin@akleg.gov,,,,true,false
Peter Lovseth:10,10,Lov,Lovseth,,Peter,Representative Peter Lovseth,Lovseth,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,5,,R,,Representative.Peter.Lovseth@akleg.gov,,,"""Appointed May 6, 1977 to fill the vacancy left by Keith Specking's resignation""",true,false
Joseph McKinnon:9,10,McK,McKinnon,,Joseph,Representative Joseph McKinnon,McKinnon,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,9,,D,,Representative.Joseph.McKinnon@akleg.gov,,,,true,false
H Meland:7,10,Mel,Meland,,H.,Senator H. Meland,Meland,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,B,,D,,Senator.H..Meland@akleg.gov,,,,true,false
Alfred Ose:8,10,Ose,Ose,,Alfred,Representative Alfred Ose,Ose,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,6,,D,,Representative.Alfred.Ose@akleg.gov,,,,true,false
Alvin Osterback:9,10,Ost,Osterback,,Alvin,Representative Alvin Osterback,Osterback,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,15,,D,,Representative.Alvin.Osterback@akleg.gov,,,,true,false
Randy Phillips:10,10,Phi,Phillips,,Randy,Representative Randy Phillips,Phillips,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,8,,R,,Representative.Randy.Phillips@akleg.gov,,,,true,false
Kathryn Poland:6,10,Pol,Poland,,Kathryn,Senator Kathryn Poland,Poland,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,L,,D,,Senator.Kathryn.Poland@akleg.gov,,,,true,false
John Rader:1,10,Rad,Rader,,John,Senator John Rader,Rader,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,J,,D,,Senator.John.Rader@akleg.gov,,,Senate President,true,false
Bill Ray:4,10,Ray,Ray,,Bill,Senator Bill Ray,Ray,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,C,,D,,Senator.Bill.Ray@akleg.gov,,,,true,false
Leo Rhode:2,10,Rho,Rhode,,Leo,Representative Leo Rhode,Rhode,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,13,,R,,Representative.Leo.Rhode@akleg.gov,,,,true,false
Lisa Rudd:9,10,Rud,Rudd,,Lisa,Representative Lisa Rudd,Rudd,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,11,,D,,Representative.Lisa.Rudd@akleg.gov,,,,true,false
John Sackett:5,10,Sac,Sackett,,John,Senator John Sackett,Sackett,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,N,,R,,Senator.John.Sackett@akleg.gov,,,,true,false
Leo Schaeffer:10,10,Sch,Schaeffer,,Leo,Representative Leo Schaeffer,Schaeffer,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,21,,D,,Representative.Leo.Schaeffer@akleg.gov,,,,true,false
Sarah Smith:10,10,Smi,Smith,,Sarah,Representative Sarah Smith,Smith,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,20,,D,,Representative.Sarah.Smith@akleg.gov,,,,true,false
Merle Snider:10,10,Sni,Snider,,Merle,Representative Merle Snider,Snider,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,14,,D,,Representative.Merle.Snider@akleg.gov,,,,true,false
Keith Specking:7,10,Spe,Specking,,Keith,Representative Keith Specking,Specking,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,5,,R,,Representative.Keith.Specking@akleg.gov,,,"""Resigned April 25, 1977""",false,false
Bill Sumner:10,10,Sum,Sumner,,Bill,Senator Bill Sumner,Sumner,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,E,,R,,Senator.Bill.Sumner@akleg.gov,,,,true,false
Leslie Swanson:7,10,Swa,Swanson,,Leslie,Representative Leslie Swanson,Swanson,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,19,,D,,Representative.Leslie.Swanson@akleg.gov,,,,true,false
Clem Tillion:3,10,Til,Tillion,,Clem,Senator Clem Tillion,Tillion,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,K,,R,,Senator.Clem.Tillion@akleg.gov,,,,true,false
Richard Urion:8,10,Uri,Urion,,Richard,Representative Richard Urion,Urion,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,10,,R,,Representative.Richard.Urion@akleg.gov,,,,true,false
Edward Willis:9,10,Wil,Willis,,Edward,Senator Edward Willis,Willis,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,F,,D,,Senator.Edward.Willis@akleg.gov,,,,true,false
Robert Ziegler:4,10,Zie,Ziegler,,Robert,Senator Robert Ziegler,Ziegler,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,A,,D,,Senator.Robert.Ziegler@akleg.gov,,,,true,false
Nels Anderson:9,11,And,Anderson,,Nels,Representative Nels Anderson,Anderson,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,16,,D,,Representative.Nels.Anderson@akleg.gov,,,,true,false
Ramona Barnes:11,11,Bar,Barnes,,Ramona,Representative Ramona Barnes,Barnes,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,10,,R,,Representative.Ramona.Barnes@akleg.gov,,,,true,false
Michael Beirne:5,11,Bei,Beirne,,Michael,Representative Michael Beirne,Beirne,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,7,,R,,Representative.Michael.Beirne@akleg.gov,,,,true,false
Robert Bettisworth:11,11,Bet,Bettisworth,,Robert,Representative Robert Bettisworth,Bettisworth,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",H,20,,R,,Representative.Robert.Bettisworth@akleg.gov,,,,true,false
W E Bradley:9,11,BrW,Bradley,,W.,Senator W. Bradley,Bradley,"{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}","{'tollFree': NULL, 'Street': NULL, 'Room': NULL, 'City': NULL, 'State': NULL, 'Zip': NULL, 'Phone': NULL, 'Fax': NULL, 'POBox': NULL}",S,F,,R,,Senator.W..Bradley@akleg.gov,,,,true,false
